zs_id,seg_type,x_left,x_right,y_bottom,y_top
1,down,147,157,66.80000305175781,69.4800033569336
2,down,205,220,69.30000305175781,72.98999786376953
3,down,223,242,72.38999938964844,74.8499984741211
4,down,248,262,71.4000015258789,73.75
5,down,355,381,62.47999954223633,65.97000122070312
6,down,397,407,60.59999847412109,64.27999877929688
7,down,488,499,59.20000076293945,60.83000183105469
1,up,41,62,48.63999938964844,49.95000076293945
2,up,93,104,59.25,60.880001068115234
3,up,110,133,64.37000274658203,65.7300033569336
4,up,315,331,66.37999725341797,68.69999694824219
5,up,458,473,60.34999847412109,61.68000030517578
6,up,522,542,55.22999954223633,57.95000076293945
