from_idx,from_price,to_idx,to_price,label
44,34.58000183105469,60,32.33000183105469,XSG->XXD (蓝色实线，向下线段)
60,32.33000183105469,91,36.0,XXD->XSG (蓝色实线，向上线段)
91,36.0,223,29.8799991607666,XSG->XXD (蓝色实线，向下线段)
223,29.8799991607666,237,32.97999954223633,XXD->XSG (蓝色实线，向上线段)
237,32.97999954223633,367,24.770000457763672,XSG->XXD (蓝色实线，向下线段)
367,24.770000457763672,388,28.950000762939453,XXD->XSG (蓝色实线，向上线段)
388,28.950000762939453,409,26.549999237060547,XSG->XXD (蓝色实线，向下线段)
409,26.549999237060547,505,35.79999923706055,XXD->XSG (蓝色实线，向上线段)
5,30.350000381469727,44,34.58000183105469,D@k5->XSG (黄色虚线，向上线段)
505,35.79999923706055,537,31.75,XSG->D@k537 (黄色实线，向下线段)
