zs_id,seg_type,x_left,x_right,y_bottom,y_top
1,down,213,237,17.360000610351562,18.57999992370605
2,down,242,256,15.380000114440918,16.489999771118164
3,down,480,496,28.190000534057617,31.1200008392334
4,down,544,564,35.5,35.54999923706055
5,down,568,594,32.5099983215332,35.33000183105469
1,pending_up,45,64,12.380000114440918,12.800000190734863
2,up,108,122,11.710000038146973,12.229999542236328
3,up,276,304,17.020000457763672,18.57999992370605
4,up,309,332,15.8100004196167,16.549999237060547
5,up,338,372,15.350000381469728,17.579999923706055
6,up,379,403,17.6299991607666,18.76000022888184
7,up,406,421,18.809999465942383,19.489999771118164
8,up,429,445,20.190000534057617,20.479999542236328
