idx,datetime,open,high,low,close
0,2023-04-27 15:00,58.95,58.95,57.21,57.21
1,2023-05-05 15:00,55.0,55.62,54.45,54.72
2,2023-05-08 15:00,55.03,56.19,54.74,55.96
3,2023-05-09 15:00,56.5,56.5,55.3,55.71
4,2023-05-11 15:00,38.08,38.25,37.4,39.28
5,2023-05-12 15:00,39.28,39.59,37.98,38.1
6,2023-05-16 15:00,38.12,39.65,38.35,38.47
7,2023-05-17 15:00,38.4,38.78,38.3,38.43
8,2023-05-18 15:00,38.2,38.54,37.73,37.79
9,2023-05-19 15:00,37.83,38.39,37.38,38.15
10,2023-05-23 15:00,38.26,39.48,38.55,38.65
11,2023-05-24 15:00,38.46,38.95,38.26,38.64
12,2023-05-25 15:00,38.53,38.81,38.01,38.37
13,2023-05-26 15:00,38.02,38.2,37.57,37.61
14,2023-05-29 15:00,37.61,37.95,36.46,36.55
15,2023-05-30 15:00,36.5,36.5,33.71,34.0
16,2023-05-31 15:00,33.92,34.46,33.4,34.11
17,2023-06-01 15:00,33.98,34.66,33.81,34.25
18,2023-06-05 15:00,34.23,41.09,37.28,37.8
19,2023-06-06 15:00,37.62,38.12,36.7,36.7
20,2023-06-07 15:00,37.09,37.09,35.53,35.87
21,2023-06-08 15:00,35.91,37.64,35.91,36.39
22,2023-06-09 15:00,36.97,37.35,35.8,36.2
23,2023-06-13 15:00,36.13,36.13,35.07,35.61
24,2023-06-15 15:00,35.65,35.82,34.68,36.13
25,2023-06-19 15:00,36.34,36.88,36.04,36.04
26,2023-06-20 15:00,36.08,36.35,35.31,35.46
27,2023-06-21 15:00,35.46,36.18,34.59,34.72
28,2023-06-26 15:00,34.49,35.5,34.28,34.6
29,2023-06-28 15:00,34.81,35.61,34.74,35.07
30,2023-06-29 15:00,34.75,35.58,34.58,35.06
31,2023-06-30 15:00,34.99,37.7,34.88,36.98
32,2023-07-05 15:00,36.85,37.77,36.77,36.83
33,2023-07-06 15:00,36.71,36.88,35.98,36.82
34,2023-07-11 15:00,36.66,37.55,36.41,36.9
35,2023-07-14 15:00,37.16,36.97,36.2,36.46
36,2023-07-17 15:00,36.4,36.51,35.93,36.09
37,2023-07-18 15:00,36.28,36.45,35.88,36.19
38,2023-07-19 15:00,36.11,36.35,35.42,35.62
39,2023-07-20 15:00,35.62,36.71,35.52,35.6
40,2023-07-21 15:00,35.57,35.99,34.99,35.25
41,2023-07-24 15:00,35.25,35.28,34.56,34.62
42,2023-07-25 15:00,35.03,35.88,35.0,35.72
43,2023-07-26 15:00,35.89,35.89,35.28,35.47
