idx,datetime,open,high,low,close
0,2026-08-13 14:00:00.000000,311.0,312.0,307.6,310.4
1,2026-08-13 14:00:30.000000,310.4,310.4,303.4,303.4
2,2026-08-13 14:01:00.000000,303.4,309.6,303.2,309.6
3,2026-08-13 14:01:30.000000,309.6,309.8,308.8,309.8
4,2026-08-13 14:02:00.000000,309.8,313.0,309.8,313.0
5,2026-08-13 14:03:30.000000,313.0,315.6,313.6,315.4
6,2026-08-13 14:04:00.000000,315.4,319.8,315.4,319.8
7,2026-08-13 14:04:30.000000,319.8,320.0,318.0,319.8
8,2026-08-13 14:05:00.000000,319.8,320.2,319.6,320.2
9,2026-08-13 14:06:30.000000,320.2,325.4,323.4,325.4
10,2026-08-13 14:07:00.000000,325.4,326.4,325.2,325.6
11,2026-08-13 14:07:30.000000,325.6,325.6,324.4,324.4
12,2026-08-13 14:08:30.000000,324.4,321.6,319.6,321.6
13,2026-08-13 14:09:30.000000,321.6,324.0,321.6,319.6
14,2026-08-13 14:10:00.000000,319.6,321.2,319.6,321.2
15,2026-08-13 14:10:30.000000,321.2,323.0,321.0,321.0
16,2026-08-13 14:11:00.000000,321.0,321.0,316.8,319.8
17,2026-08-13 14:11:30.000000,319.8,321.2,319.8,320.0
18,2026-08-13 14:12:00.000000,320.0,320.0,316.6,316.6
19,2026-08-13 14:12:30.000000,316.6,317.6,316.0,317.6
20,2026-08-13 14:13:30.000000,317.6,320.4,318.0,318.0
21,2026-08-13 14:14:00.000000,318.0,318.0,315.8,315.8
22,2026-08-13 14:14:30.000000,315.8,315.8,313.0,315.4
23,2026-08-13 14:15:00.000000,315.4,319.0,315.4,318.0
24,2026-08-13 14:15:30.000000,318.0,318.0,313.0,313.0
25,2026-08-13 14:16:30.000000,313.0,314.4,310.0,313.2
26,2026-08-13 14:17:00.000000,313.2,317.8,313.2,316.6
27,2026-08-13 14:17:30.000000,316.6,316.6,310.6,310.6
28,2026-08-13 14:19:30.000000,310.6,309.4,308.0,309.0
29,2026-08-13 14:20:30.000000,309.0,307.8,306.8,307.4
30,2026-08-13 14:21:00.000000,307.4,307.6,304.0,304.0
31,2026-08-13 14:21:30.000000,304.0,305.8,303.4,304.0
32,2026-08-13 14:22:30.000000,304.0,304.0,302.0,305.8
33,2026-08-13 14:23:00.000000,305.8,308.2,304.8,308.2
34,2026-08-13 14:23:30.000000,308.2,311.0,308.2,311.0
35,2026-08-13 14:24:00.000000,311.0,312.4,311.0,312.4
36,2026-08-13 14:24:30.000000,312.4,313.2,311.2,311.2
37,2026-08-13 14:25:00.000000,311.2,311.4,308.0,308.0
38,2026-08-13 14:25:30.000000,308.0,308.0,302.0,302.0
39,2026-08-13 14:26:00.000000,302.0,302.0,298.2,298.2
40,2026-08-13 14:27:00.000000,298.2,298.2,296.2,299.0
