idx,datetime,open,high,low,close
0,2026-08-05 13:00:00.000000,179.0,180.6,172.4,174.8
1,2026-08-05 13:03:00.000000,174.8,177.6,171.6,171.6
2,2026-08-05 13:06:00.000000,171.6,174.8,168.4,172.0
3,2026-08-05 13:09:00.000000,172.0,181.2,170.8,181.2
4,2026-08-05 13:15:00.000000,181.2,187.8,180.6,187.0
5,2026-08-05 13:18:00.000000,187.0,190.6,184.8,190.6
6,2026-08-05 13:24:00.000000,190.6,194.0,187.6,189.6
7,2026-08-05 13:27:00.000000,189.6,190.0,182.0,183.4
8,2026-08-05 13:30:00.000000,183.4,190.4,183.4,188.6
9,2026-08-05 13:33:00.000000,188.6,188.6,178.8,179.8
10,2026-08-05 13:36:00.000000,179.8,180.4,172.2,173.0
11,2026-08-05 13:39:00.000000,173.0,181.0,173.0,173.8
12,2026-08-05 13:42:00.000000,173.8,181.6,173.2,180.8
13,2026-08-05 13:45:00.000000,180.8,186.4,180.4,181.2
14,2026-08-05 13:51:00.000000,181.2,184.0,178.4,179.2
15,2026-08-05 13:54:00.000000,179.2,181.8,175.2,175.2
16,2026-08-05 13:57:00.000000,175.2,180.8,175.0,177.4
17,2026-08-05 14:00:00.000000,177.4,178.6,169.0,169.0
18,2026-08-05 14:03:00.000000,169.0,172.0,164.2,164.6
19,2026-08-05 14:06:00.000000,164.6,166.2,162.2,163.6
20,2026-08-05 14:12:00.000000,163.6,171.8,164.2,166.4
21,2026-08-05 14:15:00.000000,166.4,167.0,160.0,161.6
22,2026-08-05 14:18:00.000000,161.6,163.0,155.4,162.0
23,2026-08-05 14:21:00.000000,162.0,162.6,154.0,157.2
24,2026-08-05 14:24:00.000000,157.2,164.8,157.2,164.2
25,2026-08-05 14:27:00.000000,164.2,165.2,161.4,164.4
26,2026-08-05 14:30:00.000000,164.4,166.6,162.8,164.0
27,2026-08-05 14:36:00.000000,164.0,169.4,164.0,164.0
28,2026-08-05 14:39:00.000000,164.0,166.4,163.2,166.0
29,2026-08-05 14:42:00.000000,166.0,169.0,165.6,166.2
30,2026-08-05 14:45:00.000000,166.2,170.4,166.2,169.4
31,2026-08-05 14:48:00.000000,169.4,173.6,169.2,172.0
32,2026-08-05 14:57:00.000000,172.0,176.0,175.0,175.0
33,2026-08-06 09:33:00.000000,149.6,159.2,143.0,155.6
34,2026-08-06 09:36:00.000000,155.6,171.8,154.8,166.0
35,2026-08-06 09:39:00.000000,166.0,173.2,164.8,173.2
36,2026-08-06 09:42:00.000000,173.2,178.6,170.8,173.4
37,2026-08-06 09:48:00.000000,173.4,178.0,170.6,174.2
38,2026-08-06 09:51:00.000000,174.2,176.4,162.4,163.6
39,2026-08-06 09:54:00.000000,163.6,181.2,162.6,180.8
40,2026-08-06 09:57:00.000000,180.8,186.8,177.4,186.6
41,2026-08-06 10:00:00.000000,186.6,187.2,180.8,185.6
42,2026-08-06 10:03:00.000000,185.6,187.0,178.0,183.0
43,2026-08-06 10:06:00.000000,183.0,189.8,179.4,188.8
44,2026-08-06 10:09:00.000000,188.8,197.0,188.0,191.4
45,2026-08-06 10:18:00.000000,191.4,201.6,193.6,195.2
46,2026-08-06 10:21:00.000000,195.2,203.0,195.0,198.4
47,2026-08-06 10:24:00.000000,198.4,199.2,194.4,198.2
48,2026-08-06 10:30:00.000000,198.2,203.8,196.8,196.2
49,2026-08-06 10:33:00.000000,196.2,196.4,189.0,189.0
50,2026-08-06 10:39:00.000000,189.0,192.4,181.2,192.4
51,2026-08-06 10:51:00.000000,192.4,194.8,190.2,193.2
52,2026-08-06 10:54:00.000000,193.2,194.2,188.8,192.2
53,2026-08-06 10:57:00.000000,192.2,192.2,182.2,182.2
54,2026-08-06 11:00:00.000000,182.2,183.4,178.4,181.8
55,2026-08-06 11:03:00.000000,181.8,186.0,181.6,182.6
56,2026-08-06 11:09:00.000000,182.6,182.0,173.0,181.4
57,2026-08-06 11:12:00.000000,181.4,182.2,173.2,173.2
58,2026-08-06 11:15:00.000000,173.2,176.6,166.0,166.0
59,2026-08-06 11:21:00.000000,166.0,169.4,163.6,164.0
60,2026-08-06 11:27:00.000000,164.0,164.0,158.6,169.0
61,2026-08-06 13:03:00.000000,169.4,177.8,173.0,175.8
62,2026-08-06 13:06:00.000000,175.8,183.8,175.4,176.6
63,2026-08-06 13:12:00.000000,176.6,172.4,166.8,171.2
64,2026-08-06 13:15:00.000000,171.2,176.8,171.2,171.6
65,2026-08-06 13:21:00.000000,171.6,169.8,165.0,166.4
66,2026-08-06 13:24:00.000000,166.4,167.6,164.2,165.4
67,2026-08-06 13:27:00.000000,165.4,165.4,158.8,159.0
68,2026-08-06 13:30:00.000000,159.0,165.8,159.0,163.0
69,2026-08-06 13:33:00.000000,163.0,163.0,158.2,160.0
70,2026-08-06 13:36:00.000000,160.0,161.0,155.0,157.8
71,2026-08-06 13:39:00.000000,157.8,158.4,153.2,153.8
72,2026-08-06 13:42:00.000000,153.8,163.6,153.6,163.6
73,2026-08-06 13:48:00.000000,163.6,168.0,162.0,167.8
74,2026-08-06 13:51:00.000000,167.8,170.0,165.4,169.0
75,2026-08-06 14:00:00.000000,169.0,169.0,161.4,163.2
76,2026-08-06 14:03:00.000000,163.2,163.8,158.6,162.4
77,2026-08-06 14:06:00.000000,162.4,164.6,160.8,161.0
78,2026-08-06 14:09:00.000000,161.0,164.2,158.4,164.2
79,2026-08-06 14:15:00.000000,164.2,168.0,163.0,164.0
80,2026-08-06 14:18:00.000000,164.0,169.4,164.0,168.0
81,2026-08-06 14:21:00.000000,168.0,173.8,168.0,173.6
82,2026-08-06 14:27:00.000000,173.6,178.0,170.2,178.0
83,2026-08-06 14:30:00.000000,178.0,179.8,172.8,176.0
84,2026-08-06 14:36:00.000000,176.0,183.4,175.2,176.4
85,2026-08-06 14:45:00.000000,176.4,176.6,171.4,175.4
86,2026-08-06 14:48:00.000000,175.4,181.6,174.6,180.0
87,2026-08-07 09:36:00.000000,180.0,195.0,180.8,183.2
88,2026-08-07 09:39:00.000000,183.2,184.8,163.8,164.8
89,2026-08-07 09:42:00.000000,164.8,169.4,156.6,157.6
90,2026-08-07 09:45:00.000000,157.6,157.6,144.8,152.6
91,2026-08-07 09:48:00.000000,152.6,159.2,149.8,156.0
92,2026-08-07 09:51:00.000000,156.0,166.6,156.0,161.6
93,2026-08-07 09:54:00.000000,161.6,169.6,157.4,169.4
94,2026-08-07 09:57:00.000000,169.4,173.8,166.0,172.8
95,2026-08-07 10:00:00.000000,172.8,189.4,171.8,186.2
96,2026-08-07 10:09:00.000000,186.2,193.0,184.4,192.4
97,2026-08-07 10:12:00.000000,192.4,197.8,187.4,189.4
98,2026-08-07 10:15:00.000000,189.4,200.0,189.2,196.4
99,2026-08-07 10:18:00.000000,196.4,203.4,194.8,194.8
100,2026-08-07 10:21:00.000000,194.8,202.8,193.0,201.6
101,2026-08-07 10:24:00.000000,201.6,202.2,188.2,189.0
