from_idx,from_price,to_idx,to_price,label
23,154.0,48,203.8000030517578,XXD->XSG (蓝色实线，向上线段)
48,203.8000030517578,90,144.8000030517578,XSG->XXD (蓝色实线，向下线段)
90,144.8000030517578,142,273.20001220703125,XXD->XSG (蓝色实线，向上线段)
142,273.20001220703125,178,214.3999938964844,XSG->XXD (蓝色实线，向下线段)
178,214.3999938964844,229,320.0,XXD->XSG (蓝色实线，向上线段)
229,320.0,263,243.1999969482422,XSG->XXD (蓝色实线，向下线段)
263,243.1999969482422,339,378.3999938964844,XXD->XSG (蓝色实线，向上线段)
339,378.3999938964844,427,218.6000061035156,XSG->XXD (蓝色实线，向下线段)
6,194.0,23,154.0,G@k6->XXD (黄色虚线，向下线段)
427,218.6000061035156,446,287.6000061035156,XXD->G@k446 (黄色实线，向上线段)
