idx,datetime,open,high,low,close
0,2026-08-13 14:00:00.000000,37.8,38.0,36.8,37.4
1,2026-08-13 14:01:00.000000,37.4,39.0,37.4,37.6
2,2026-08-13 14:01:30.000000,37.6,37.8,37.2,37.4
3,2026-08-13 14:03:00.000000,37.4,37.4,36.8,37.2
4,2026-08-13 14:03:30.000000,37.2,37.2,36.6,36.6
5,2026-08-13 14:05:00.000000,36.6,35.2,34.4,34.4
6,2026-08-13 14:06:30.000000,34.4,34.6,34.2,34.2
7,2026-08-13 14:07:30.000000,34.2,34.4,33.8,34.4
8,2026-08-13 14:09:30.000000,34.4,35.8,35.4,35.6
9,2026-08-13 14:10:30.000000,35.6,35.6,35.0,35.6
10,2026-08-13 14:11:00.000000,35.6,35.8,35.4,35.6
11,2026-08-13 14:12:00.000000,35.6,35.6,35.0,36.0
12,2026-08-13 14:12:30.000000,36.0,36.0,35.8,35.8
13,2026-08-13 14:13:30.000000,35.8,35.8,35.4,35.6
14,2026-08-13 14:14:00.000000,35.6,36.0,35.6,35.8
15,2026-08-13 14:15:00.000000,35.8,35.8,35.2,35.8
16,2026-08-13 14:15:30.000000,35.8,36.4,35.8,36.2
17,2026-08-13 14:16:00.000000,36.2,36.6,36.0,36.6
18,2026-08-13 14:16:30.000000,36.6,37.0,36.2,36.4
19,2026-08-13 14:18:00.000000,36.4,36.0,35.4,36.0
20,2026-08-13 14:19:30.000000,36.0,36.6,36.0,36.4
21,2026-08-13 14:20:30.000000,36.4,37.2,36.6,36.8
22,2026-08-13 14:21:00.000000,36.8,37.4,36.8,37.0
23,2026-08-13 14:22:30.000000,37.0,37.2,36.6,36.6
24,2026-08-13 14:23:30.000000,36.6,36.0,35.4,35.6
25,2026-08-13 14:24:00.000000,35.6,35.6,34.8,35.0
26,2026-08-13 14:25:00.000000,35.0,35.0,34.6,35.4
27,2026-08-13 14:25:30.000000,35.4,37.2,35.4,36.8
28,2026-08-13 14:26:30.000000,36.8,38.2,37.2,37.4
29,2026-08-13 14:27:30.000000,37.4,37.6,37.0,37.6
30,2026-08-13 14:28:00.000000,37.6,37.8,37.4,37.4
31,2026-08-13 14:29:30.000000,37.4,37.2,35.8,35.8
32,2026-08-13 14:30:00.000000,35.8,36.8,35.2,36.6
33,2026-08-13 14:30:30.000000,36.6,37.2,36.6,37.0
34,2026-08-13 14:31:00.000000,37.0,37.8,36.8,37.8
35,2026-08-13 14:31:30.000000,37.8,38.4,37.4,38.0
36,2026-08-13 14:32:30.000000,38.0,39.4,38.6,39.2
37,2026-08-13 14:34:00.000000,39.2,40.8,39.2,40.8
38,2026-08-13 14:34:30.000000,40.8,41.0,40.2,41.0
39,2026-08-13 14:37:00.000000,41.0,42.0,41.2,41.6
40,2026-08-13 14:37:30.000000,41.6,41.6,40.8,41.4
41,2026-08-13 14:38:30.000000,41.4,45.0,44.0,44.4
42,2026-08-13 14:39:30.000000,44.4,43.6,43.0,43.6
43,2026-08-13 14:40:00.000000,43.6,45.6,43.2,45.4
44,2026-08-13 14:40:30.000000,45.4,46.0,45.2,45.2
45,2026-08-13 14:42:00.000000,45.2,45.8,43.6,45.4
46,2026-08-13 14:42:30.000000,45.4,46.6,45.4,46.6
47,2026-08-13 14:43:00.000000,46.6,48.6,46.6,48.6
48,2026-08-13 14:43:30.000000,48.6,48.8,47.4,47.4
49,2026-08-13 14:44:00.000000,47.4,47.6,45.4,45.6
50,2026-08-13 14:45:00.000000,45.6,46.0,44.6,44.6
51,2026-08-13 14:46:00.000000,44.6,45.0,43.6,45.4
52,2026-08-13 14:47:00.000000,45.4,47.8,47.2,47.2
53,2026-08-13 14:47:30.000000,47.2,47.2,46.4,47.0
54,2026-08-13 14:48:30.000000,47.0,47.0,46.0,46.8
55,2026-08-13 14:49:30.000000,46.8,47.2,46.6,46.8
56,2026-08-13 14:50:30.000000,46.8,46.6,45.2,46.2
57,2026-08-13 14:51:30.000000,46.2,48.0,47.4,48.0
58,2026-08-13 14:53:00.000000,48.0,49.8,48.6,49.6
59,2026-08-13 14:53:30.000000,49.6,50.0,49.0,49.2
60,2026-08-13 14:55:00.000000,49.2,51.0,50.2,50.8
61,2026-08-13 14:56:00.000000,50.8,50.8,50.0,50.0
62,2026-08-13 14:59:30.000000,50.0,49.6,49.6,50.0
63,2026-08-14 09:30:30.000000,42.6,43.6,37.6,43.4
64,2026-08-14 09:31:00.000000,43.4,44.2,42.0,44.2
65,2026-08-14 09:31:30.000000,44.2,44.4,42.6,44.4
66,2026-08-14 09:32:00.000000,44.4,45.2,43.6,44.4
67,2026-08-14 09:32:30.000000,44.4,44.8,43.0,44.8
68,2026-08-14 09:33:00.000000,44.8,45.0,43.4,43.4
69,2026-08-14 09:34:30.000000,43.4,43.6,42.0,42.0
70,2026-08-14 09:35:30.000000,42.0,42.4,40.8,42.0
71,2026-08-14 09:36:00.000000,42.0,44.4,41.4,44.0
72,2026-08-14 09:36:30.000000,44.0,44.8,42.6,43.2
73,2026-08-14 09:37:00.000000,43.2,43.2,42.4,42.6
74,2026-08-14 09:37:30.000000,42.6,43.4,42.6,43.2
75,2026-08-14 09:38:00.000000,43.2,43.2,40.8,40.8
76,2026-08-14 09:38:30.000000,40.8,41.6,40.2,41.4
77,2026-08-14 09:39:00.000000,41.4,41.4,38.4,38.4
78,2026-08-14 09:39:30.000000,38.4,38.6,36.0,36.6
79,2026-08-14 09:40:30.000000,36.6,34.6,33.2,34.2
80,2026-08-14 09:41:00.000000,34.2,35.4,34.2,35.4
81,2026-08-14 09:41:30.000000,35.4,37.0,35.2,37.0
82,2026-08-14 09:42:00.000000,37.0,38.2,36.6,38.2
83,2026-08-14 09:42:30.000000,38.2,38.8,37.6,38.8
84,2026-08-14 09:44:00.000000,38.8,39.2,38.4,39.0
85,2026-08-14 09:45:00.000000,39.0,40.2,39.0,39.0
86,2026-08-14 09:45:30.000000,39.0,39.2,38.2,38.2
87,2026-08-14 09:46:00.000000,38.2,38.2,36.0,36.0
88,2026-08-14 09:47:00.000000,36.0,36.0,34.6,37.4
89,2026-08-14 09:49:30.000000,37.4,38.6,37.6,37.6
90,2026-08-14 09:50:00.000000,37.6,38.2,36.8,37.0
91,2026-08-14 09:50:30.000000,37.0,37.4,36.6,36.8
92,2026-08-14 09:51:00.000000,36.8,38.4,36.8,38.2
93,2026-08-14 09:51:30.000000,38.2,39.2,38.0,38.6
94,2026-08-14 09:52:00.000000,38.6,39.8,38.6,39.2
95,2026-08-14 09:52:30.000000,39.2,39.2,37.4,37.4
96,2026-08-14 09:53:00.000000,37.4,37.4,36.0,36.4
97,2026-08-14 09:53:30.000000,36.4,37.8,36.4,37.8
98,2026-08-14 09:54:30.000000,37.8,39.2,38.2,38.6
99,2026-08-14 09:55:30.000000,38.6,38.8,38.0,38.8
100,2026-08-14 09:56:00.000000,38.8,39.0,38.4,38.4
101,2026-08-14 09:57:00.000000,38.4,37.8,37.0,37.4
102,2026-08-14 09:57:30.000000,37.4,38.6,37.4,37.6
103,2026-08-14 09:58:00.000000,37.6,37.8,36.8,37.0
104,2026-08-14 10:00:00.000000,37.0,36.6,36.0,36.6
105,2026-08-14 10:00:30.000000,36.6,37.8,36.6,37.6
106,2026-08-14 10:01:30.000000,37.6,38.4,37.4,37.6
107,2026-08-14 10:02:00.000000,37.6,37.6,36.0,36.0
108,2026-08-14 10:03:30.000000,36.0,36.0,35.2,35.2
109,2026-08-14 10:04:00.000000,35.2,35.8,35.0,35.8
110,2026-08-14 10:04:30.000000,35.8,36.6,35.6,36.6
111,2026-08-14 10:05:00.000000,36.6,37.6,36.4,37.4
112,2026-08-14 10:05:30.000000,37.4,38.4,37.4,38.4
113,2026-08-14 10:06:00.000000,38.4,39.2,38.4,39.0
114,2026-08-14 10:07:00.000000,39.0,39.8,39.0,39.4
115,2026-08-14 10:07:30.000000,39.4,40.8,39.4,40.2
116,2026-08-14 10:08:00.000000,40.2,41.6,39.8,41.6
117,2026-08-14 10:08:30.000000,41.6,42.4,40.8,42.0
118,2026-08-14 10:10:30.000000,42.0,45.6,43.8,44.6
119,2026-08-14 10:11:00.000000,44.6,44.6,43.6,44.4
120,2026-08-14 10:12:30.000000,44.4,45.0,44.2,42.8
121,2026-08-14 10:13:30.000000,42.8,43.0,42.2,42.4
122,2026-08-14 10:14:00.000000,42.4,42.8,41.0,41.0
123,2026-08-14 10:15:00.000000,41.0,41.0,40.2,40.6
124,2026-08-14 10:15:30.000000,40.6,41.2,40.4,41.0
125,2026-08-14 10:16:00.000000,41.0,41.8,40.8,41.6
126,2026-08-14 10:16:30.000000,41.6,42.0,41.0,41.4
127,2026-08-14 10:17:00.000000,41.4,43.0,41.4,43.0
128,2026-08-14 10:19:00.000000,43.0,43.6,42.6,43.6
129,2026-08-14 10:20:00.000000,43.6,44.0,43.4,43.0
130,2026-08-14 10:20:30.000000,43.0,43.0,41.0,41.0
131,2026-08-14 10:21:00.000000,41.0,41.2,40.4,41.0
132,2026-08-14 10:21:30.000000,41.0,43.2,41.0,43.2
133,2026-08-14 10:22:00.000000,43.2,43.8,42.4,43.4
134,2026-08-14 10:23:30.000000,43.4,44.4,43.4,44.4
135,2026-08-14 10:24:00.000000,44.4,45.6,44.0,45.4
136,2026-08-14 10:26:00.000000,45.4,46.2,45.2,44.4
137,2026-08-14 10:28:00.000000,44.4,44.6,43.8,44.6
138,2026-08-14 10:28:30.000000,44.6,46.6,44.6,46.6
139,2026-08-14 10:29:30.000000,46.6,47.6,45.8,46.0
140,2026-08-14 10:30:00.000000,46.0,46.0,44.2,44.2
141,2026-08-14 10:30:30.000000,44.2,44.2,42.6,42.8
142,2026-08-14 10:31:00.000000,42.8,42.8,40.8,40.8
143,2026-08-14 10:32:00.000000,40.8,42.2,40.6,41.4
144,2026-08-14 10:32:30.000000,41.4,42.4,41.4,42.2
145,2026-08-14 10:33:00.000000,42.2,42.6,41.8,41.8
146,2026-08-14 10:33:30.000000,41.8,41.8,41.0,41.2
147,2026-08-14 10:34:30.000000,41.2,39.6,39.0,39.0
148,2026-08-14 10:36:00.000000,39.0,38.4,38.0,39.4
149,2026-08-14 10:37:30.000000,39.4,39.6,38.4,39.4
150,2026-08-14 10:39:00.000000,39.4,40.4,39.8,39.0
151,2026-08-14 10:39:30.000000,39.0,39.4,38.8,39.2
152,2026-08-14 10:40:00.000000,39.2,39.2,37.8,37.8
153,2026-08-14 10:40:30.000000,37.8,38.2,37.0,37.2
154,2026-08-14 10:41:30.000000,37.2,37.6,36.8,37.2
155,2026-08-14 10:42:00.000000,37.2,38.0,37.2,38.0
156,2026-08-14 10:43:30.000000,38.0,39.8,38.4,39.6
157,2026-08-14 10:44:30.000000,39.6,40.8,39.6,40.4
158,2026-08-14 10:45:00.000000,40.4,41.2,39.8,41.2
159,2026-08-14 10:46:00.000000,41.2,42.0,41.0,42.0
160,2026-08-14 10:46:30.000000,42.0,42.4,41.4,42.4
161,2026-08-14 10:47:30.000000,42.4,43.0,42.0,42.6
162,2026-08-14 10:48:00.000000,42.6,44.0,42.6,43.8
