idx,datetime,summacd,top_mark,bottom_mark,top_price,bottom_price,in_zhongshu,is_top,is_bottom,is_XSG,is_XXD,is_SZBBC,is_XDBBC,is_SZ5BBC,is_XD5BBC,is_SZ7BBC,is_XD7BBC,is_SZZSPZBC,is_XDZSPZBC,is_SZQSBC,is_XDQSBC
0,2026-08-13 14:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2026-08-13 14:01:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2026-08-13 14:01:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2026-08-13 14:03:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2026-08-13 14:03:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,2026-08-13 14:05:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,2026-08-13 14:06:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,2026-08-13 14:07:30,,,D,,33.79999923706055,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
8,2026-08-13 14:09:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,2026-08-13 14:10:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,2026-08-13 14:11:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,2026-08-13 14:12:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,2026-08-13 14:12:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,2026-08-13 14:13:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,2026-08-13 14:14:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,2026-08-13 14:15:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,2026-08-13 14:15:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,2026-08-13 14:16:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,2026-08-13 14:16:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,2026-08-13 14:18:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,2026-08-13 14:19:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,2026-08-13 14:20:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,2026-08-13 14:21:00,5.7063,G,,37.400001525878906,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
23,2026-08-13 14:22:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,2026-08-13 14:23:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,2026-08-13 14:24:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,2026-08-13 14:25:00,-1.2293999999999992,,D,,34.599998474121094,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
27,2026-08-13 14:25:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,2026-08-13 14:26:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,2026-08-13 14:27:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,2026-08-13 14:28:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,2026-08-13 14:29:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,2026-08-13 14:30:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,2026-08-13 14:30:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,2026-08-13 14:31:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,2026-08-13 14:31:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,2026-08-13 14:32:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,2026-08-13 14:34:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,2026-08-13 14:34:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,2026-08-13 14:37:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,2026-08-13 14:37:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,2026-08-13 14:38:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,2026-08-13 14:39:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43,2026-08-13 14:40:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,2026-08-13 14:40:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,2026-08-13 14:42:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,2026-08-13 14:42:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,2026-08-13 14:43:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48,2026-08-13 14:43:30,15.692800000000004,G,,48.79999923706055,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
49,2026-08-13 14:44:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,2026-08-13 14:45:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,2026-08-13 14:46:00,-1.7226,,D,,43.59999847412109,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
52,2026-08-13 14:47:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
53,2026-08-13 14:47:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
54,2026-08-13 14:48:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55,2026-08-13 14:49:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56,2026-08-13 14:50:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
57,2026-08-13 14:51:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
58,2026-08-13 14:53:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
59,2026-08-13 14:53:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
60,2026-08-13 14:55:00,1.6400000000000006,G,,51.0,,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False
61,2026-08-13 14:56:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
62,2026-08-13 14:59:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
63,2026-08-14 09:30:30,-5.741200000000001,,D,,37.59999847412109,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
64,2026-08-14 09:31:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
65,2026-08-14 09:31:30,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
66,2026-08-14 09:32:00,0.0,G,,45.20000076293945,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
67,2026-08-14 09:32:30,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
68,2026-08-14 09:33:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
69,2026-08-14 09:34:30,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
70,2026-08-14 09:35:30,-10.663000000000004,,D,,40.79999923706055,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
71,2026-08-14 09:36:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,2026-08-14 09:36:30,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73,2026-08-14 09:37:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
74,2026-08-14 09:37:30,0.0,G,,43.400001525878906,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
75,2026-08-14 09:38:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76,2026-08-14 09:38:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
77,2026-08-14 09:39:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
78,2026-08-14 09:39:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
79,2026-08-14 09:40:30,-5.6007999999999925,,D,,33.20000076293945,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False
80,2026-08-14 09:41:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
81,2026-08-14 09:41:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
82,2026-08-14 09:42:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
83,2026-08-14 09:42:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
84,2026-08-14 09:44:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
85,2026-08-14 09:45:00,2.9405,G,,40.20000076293945,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
86,2026-08-14 09:45:30,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
87,2026-08-14 09:46:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
88,2026-08-14 09:47:00,0.0,,D,,34.599998474121094,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
89,2026-08-14 09:49:30,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
90,2026-08-14 09:50:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
91,2026-08-14 09:50:30,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
92,2026-08-14 09:51:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
93,2026-08-14 09:51:30,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
94,2026-08-14 09:52:00,5.800000000000001,G,,39.79999923706055,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
95,2026-08-14 09:52:30,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
96,2026-08-14 09:53:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
