idx,datetime,open,high,low,close
0,2026-08-05 13:00:00.000000,191.0,198.0,188.6,195.8
1,2026-08-05 13:06:00.000000,195.8,200.4,193.0,197.0
2,2026-08-05 13:09:00.000000,197.0,199.8,188.6,188.6
3,2026-08-05 13:15:00.000000,188.6,192.6,185.0,188.2
4,2026-08-05 13:18:00.000000,188.2,190.8,184.4,184.6
5,2026-08-05 13:21:00.000000,184.6,188.6,181.4,187.4
6,2026-08-05 13:24:00.000000,187.4,189.4,183.6,187.8
7,2026-08-05 13:27:00.000000,187.8,190.6,186.4,189.0
8,2026-08-05 13:30:00.000000,189.0,189.6,185.0,185.8
9,2026-08-05 13:33:00.000000,185.8,193.0,185.8,193.0
10,2026-08-05 13:42:00.000000,193.0,199.4,191.6,192.2
11,2026-08-05 13:48:00.000000,192.2,192.2,186.0,187.0
12,2026-08-05 13:51:00.000000,187.0,191.4,185.6,189.8
13,2026-08-05 13:57:00.000000,189.8,193.6,190.0,191.6
14,2026-08-05 14:00:00.000000,191.6,200.0,191.4,199.0
15,2026-08-05 14:03:00.000000,199.0,203.8,196.0,203.6
16,2026-08-05 14:06:00.000000,203.6,205.8,200.8,202.2
17,2026-08-05 14:09:00.000000,202.2,204.4,196.2,203.0
18,2026-08-05 14:12:00.000000,203.0,205.8,200.4,202.4
19,2026-08-05 14:15:00.000000,202.4,208.0,202.2,206.0
20,2026-08-05 14:18:00.000000,206.0,210.4,203.4,207.2
21,2026-08-05 14:21:00.000000,207.2,215.2,206.8,210.6
22,2026-08-05 14:24:00.000000,210.6,210.6,202.6,203.0
23,2026-08-05 14:30:00.000000,203.0,206.4,202.2,205.6
24,2026-08-05 14:36:00.000000,205.6,205.6,200.0,204.6
25,2026-08-05 14:39:00.000000,204.6,205.8,203.0,204.4
26,2026-08-05 14:42:00.000000,204.4,204.4,201.0,201.6
27,2026-08-05 14:45:00.000000,201.6,201.6,199.0,201.0
28,2026-08-05 14:48:00.000000,201.0,201.0,194.4,196.6
29,2026-08-05 14:51:00.000000,196.6,197.8,194.0,196.0
30,2026-08-05 14:57:00.000000,196.0,195.0,193.2,195.0
31,2026-08-06 09:33:00.000000,215.0,239.4,219.0,223.4
32,2026-08-06 09:36:00.000000,223.4,223.4,206.4,213.6
33,2026-08-06 09:39:00.000000,213.6,213.6,202.8,203.2
34,2026-08-06 09:45:00.000000,203.2,202.6,195.0,198.8
35,2026-08-06 09:48:00.000000,198.8,202.8,196.0,199.8
36,2026-08-06 09:51:00.000000,199.8,208.0,197.4,206.0
37,2026-08-06 09:54:00.000000,206.0,207.4,188.0,188.0
38,2026-08-06 10:00:00.000000,188.0,192.6,184.4,189.0
39,2026-08-06 10:03:00.000000,189.0,194.4,187.2,191.4
40,2026-08-06 10:06:00.000000,191.4,193.4,184.2,185.0
41,2026-08-06 10:09:00.000000,185.0,185.0,177.6,181.4
42,2026-08-06 10:18:00.000000,181.4,180.6,176.0,178.8
