from_idx,from_price,to_idx,to_price,label
21,215.1999969482422,46,166.39999389648438,XSG->XXD (蓝色实线，向下线段)
46,166.39999389648438,72,207.3999938964844,XXD->XSG (蓝色实线，向上线段)
72,207.3999938964844,150,83.4000015258789,XSG->XXD (蓝色实线，向下线段)
150,83.4000015258789,187,112.0,XXD->XSG (蓝色实线，向上线段)
187,112.0,237,55.79999923706055,XSG->XXD (蓝色实线，向下线段)
237,55.79999923706055,271,80.80000305175781,XXD->XSG (蓝色实线，向上线段)
271,80.80000305175781,338,28.0,XSG->XXD (蓝色实线，向下线段)
338,28.0,416,53.79999923706055,XXD->XSG (蓝色实线，向上线段)
5,181.3999938964844,21,215.1999969482422,D@k5->XSG (黄色虚线，向上线段)
416,53.79999923706055,437,28.399999618530277,XSG->D@k437 (黄色实线，向下线段)
