idx,datetime,summacd,top_mark,bottom_mark,top_price,bottom_price,in_zhongshu,is_top,is_bottom,is_XSG,is_XXD,is_SZBBC,is_XDBBC,is_SZ5BBC,is_XD5BBC,is_SZ7BBC,is_XD7BBC,is_SZZSPZBC,is_XDZSPZBC,is_SZQSBC,is_XDQSBC
0,2026-08-05 13:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2026-08-05 13:06:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2026-08-05 13:09:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2026-08-05 13:15:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2026-08-05 13:18:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,2026-08-05 13:21:00,,,D,,181.3999938964844,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
6,2026-08-05 13:24:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,2026-08-05 13:27:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,2026-08-05 13:30:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,2026-08-05 13:33:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,2026-08-05 13:42:00,3.5993999999999997,G,,199.3999938964844,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
11,2026-08-05 13:48:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,2026-08-05 13:51:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,2026-08-05 13:57:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,2026-08-05 14:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,2026-08-05 14:03:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,2026-08-05 14:06:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,2026-08-05 14:09:00,-0.0441000000000002,,D,,196.1999969482422,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
18,2026-08-05 14:12:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,2026-08-05 14:15:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,2026-08-05 14:18:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,2026-08-05 14:21:00,16.2023,G,,215.1999969482422,,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
22,2026-08-05 14:24:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,2026-08-05 14:30:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,2026-08-05 14:36:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,2026-08-05 14:39:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,2026-08-05 14:42:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,2026-08-05 14:45:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,2026-08-05 14:48:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,2026-08-05 14:51:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,2026-08-05 14:57:00,-11.4164,,D,,193.1999969482422,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
31,2026-08-06 09:33:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,2026-08-06 09:36:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,2026-08-06 09:39:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,2026-08-06 09:45:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,2026-08-06 09:48:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,2026-08-06 09:51:00,7.080899999999993,G,,208.0,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
37,2026-08-06 09:54:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,2026-08-06 10:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,2026-08-06 10:03:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,2026-08-06 10:06:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,2026-08-06 10:09:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,2026-08-06 10:18:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43,2026-08-06 10:21:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,2026-08-06 10:24:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,2026-08-06 10:27:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,2026-08-06 10:30:00,-60.21939999999999,,D,,166.39999389648438,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
47,2026-08-06 10:36:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48,2026-08-06 10:39:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,2026-08-06 10:42:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,2026-08-06 10:45:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,2026-08-06 10:48:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
52,2026-08-06 10:51:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
53,2026-08-06 10:54:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
54,2026-08-06 10:57:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55,2026-08-06 11:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56,2026-08-06 11:03:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
57,2026-08-06 11:09:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
58,2026-08-06 11:12:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
59,2026-08-06 11:15:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
60,2026-08-06 11:18:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
61,2026-08-06 11:21:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
62,2026-08-06 11:27:00,46.027499999999975,G,,199.1999969482422,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
63,2026-08-06 13:03:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,2026-08-06 13:06:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
65,2026-08-06 13:12:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
66,2026-08-06 13:15:00,0.0,,D,,182.1999969482422,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
67,2026-08-06 13:21:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
68,2026-08-06 13:24:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
69,2026-08-06 13:30:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
70,2026-08-06 13:33:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71,2026-08-06 13:36:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,2026-08-06 13:39:00,21.905500000000004,G,,207.3999938964844,,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False
73,2026-08-06 13:42:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
74,2026-08-06 13:45:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
75,2026-08-06 13:48:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76,2026-08-06 13:51:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
