idx,datetime,open,high,low,close
0,2026-08-13 22:27:00.000000,964.0,964.0,964.0,964.0
1,2026-08-13 22:27:30.000000,964.0,964.0,964.0,964.0
2,2026-08-13 22:28:00.000000,964.0,964.0,964.0,964.0
3,2026-08-13 22:28:30.000000,964.0,964.0,964.0,964.0
4,2026-08-13 22:29:00.000000,964.0,964.0,964.0,964.0
5,2026-08-13 22:29:30.000000,964.0,964.0,964.0,964.0
6,2026-08-13 22:30:00.000000,964.0,964.0,926.5,926.5
7,2026-08-13 22:30:30.000000,926.5,940.5,926.5,940.5
8,2026-08-13 22:33:30.000000,940.5,978.5,951.0,978.5
9,2026-08-13 22:40:00.000000,978.5,996.0,990.0,996.0
10,2026-08-13 22:43:00.000000,996.0,999.5,999.5,997.0
11,2026-08-13 22:44:00.000000,997.0,997.0,997.0,1013.0
12,2026-08-13 22:44:30.000000,1013.0,1016.0,1012.5,1016.0
13,2026-08-13 22:45:00.000000,1016.0,1025.0,1016.0,1025.0
14,2026-08-13 22:59:00.000000,1025.0,1051.0,1030.0,1030.0
15,2026-08-13 23:23:00.000000,1030.0,948.0,948.0,967.0
16,2026-08-13 23:27:30.000000,967.0,967.0,967.0,958.0
17,2026-08-13 23:30:00.000000,958.0,958.0,930.0,930.0
18,2026-08-13 23:30:30.000000,930.0,931.5,925.0,927.5
19,2026-08-13 23:31:00.000000,927.5,935.5,927.5,935.5
20,2026-08-13 23:32:00.000000,935.5,940.5,935.5,935.5
21,2026-08-13 23:32:30.000000,935.5,935.5,932.0,932.0
22,2026-08-13 23:34:00.000000,932.0,922.5,903.0,905.5
23,2026-08-13 23:34:30.000000,905.5,923.5,905.5,923.5
24,2026-08-13 23:49:00.000000,923.5,959.5,959.5,942.0
25,2026-08-14 00:00:00.000000,942.0,942.0,942.0,945.0
26,2026-08-14 00:01:00.000000,945.0,945.0,945.0,936.0
27,2026-08-14 00:07:30.000000,936.0,936.0,936.0,954.5
28,2026-08-14 00:10:00.000000,954.5,954.5,954.5,924.5
29,2026-08-14 00:22:30.000000,924.5,921.5,921.5,947.0
30,2026-08-14 00:52:00.000000,947.0,977.5,977.5,960.0
31,2026-08-14 00:55:00.000000,960.0,960.0,960.0,968.0
32,2026-08-14 01:04:30.000000,968.0,988.0,988.0,980.5
33,2026-08-14 01:06:00.000000,980.5,980.5,980.5,996.0
34,2026-08-14 01:29:30.000000,996.0,996.0,996.0,962.0
35,2026-08-14 09:01:30.000000,962.0,830.0,818.0,820.0
36,2026-08-14 09:02:00.000000,820.0,820.0,812.5,812.5
37,2026-08-14 09:02:30.000000,812.5,812.5,800.0,800.5
38,2026-08-14 09:03:00.000000,800.5,818.5,800.5,804.5
39,2026-08-14 09:04:00.000000,804.5,812.5,791.0,791.0
40,2026-08-14 09:06:30.000000,791.0,781.0,778.0,786.5
41,2026-08-14 09:08:00.000000,786.5,793.5,786.5,793.5
42,2026-08-14 09:08:30.000000,793.5,798.0,788.5,788.5
43,2026-08-14 09:09:00.000000,788.5,788.5,781.5,785.5
44,2026-08-14 09:10:30.000000,785.5,785.0,765.0,765.0
45,2026-08-14 09:11:30.000000,765.0,765.0,763.0,770.5
46,2026-08-14 09:12:30.000000,770.5,784.0,770.5,765.0
47,2026-08-14 09:13:30.000000,765.0,782.0,765.0,782.0
