idx,datetime,summacd,top_mark,bottom_mark,top_price,bottom_price,in_zhongshu,is_top,is_bottom,is_XSG,is_XXD,is_SZBBC,is_XDBBC,is_SZ5BBC,is_XD5BBC,is_SZ7BBC,is_XD7BBC,is_SZZSPZBC,is_XDZSPZBC,is_SZQSBC,is_XDQSBC
0,2026-08-13 22:27:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2026-08-13 22:27:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2026-08-13 22:28:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2026-08-13 22:28:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2026-08-13 22:29:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,2026-08-13 22:29:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,2026-08-13 22:30:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,2026-08-13 22:30:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,2026-08-13 22:33:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,2026-08-13 22:40:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,2026-08-13 22:43:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,2026-08-13 22:44:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,2026-08-13 22:44:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,2026-08-13 22:45:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,2026-08-13 22:59:00,,G,,1051.0,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
15,2026-08-13 23:23:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,2026-08-13 23:27:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,2026-08-13 23:30:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,2026-08-13 23:30:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,2026-08-13 23:31:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,2026-08-13 23:32:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
