idx,datetime,open,high,low,close
0,2026-08-12 00:15:00.000000,1073.5,1079.5,1073.5,1079.5
1,2026-08-12 00:18:00.000000,1079.5,1084.0,1066.0,1084.0
2,2026-08-12 00:42:00.000000,1084.0,1100.0,1100.0,1068.0
3,2026-08-12 00:51:00.000000,1068.0,1073.5,1062.5,1065.0
4,2026-08-12 01:03:00.000000,1065.0,1080.5,1072.0,1070.0
5,2026-08-12 01:48:00.000000,1070.0,1030.0,1030.0,1050.0
6,2026-08-12 01:51:00.000000,1050.0,1050.0,1040.0,1042.0
7,2026-08-12 02:27:00.000000,1042.0,1019.0,1019.0,1032.5
8,2026-08-12 09:00:00.000000,1032.5,1100.0,1032.5,1098.0
9,2026-08-12 09:03:00.000000,1098.0,1114.0,1092.5,1109.0
10,2026-08-12 09:06:00.000000,1109.0,1119.5,1094.0,1097.5
11,2026-08-12 09:09:00.000000,1097.5,1131.5,1097.5,1131.5
12,2026-08-12 09:12:00.000000,1131.5,1146.0,1131.5,1135.0
13,2026-08-12 09:15:00.000000,1135.0,1138.5,1115.0,1122.0
14,2026-08-12 09:24:00.000000,1122.0,1113.5,1096.5,1106.0
15,2026-08-12 09:27:00.000000,1106.0,1124.0,1106.0,1110.5
16,2026-08-12 09:30:00.000000,1110.5,1120.0,1094.5,1094.5
17,2026-08-12 09:33:00.000000,1094.5,1098.0,1077.5,1081.5
18,2026-08-12 09:39:00.000000,1081.5,1112.0,1091.5,1101.5
19,2026-08-12 09:42:00.000000,1101.5,1121.0,1101.5,1118.0
20,2026-08-12 09:45:00.000000,1118.0,1126.0,1105.0,1125.5
21,2026-08-12 09:48:00.000000,1125.5,1133.0,1125.0,1129.5
22,2026-08-12 09:51:00.000000,1129.5,1129.5,1119.0,1120.5
23,2026-08-12 09:54:00.000000,1120.5,1120.5,1102.0,1104.0
24,2026-08-12 09:57:00.000000,1104.0,1142.5,1104.0,1142.5
25,2026-08-12 10:00:00.000000,1142.5,1145.0,1129.0,1137.5
26,2026-08-12 10:03:00.000000,1137.5,1137.5,1123.5,1134.5
27,2026-08-12 10:06:00.000000,1134.5,1135.0,1120.0,1131.5
28,2026-08-12 10:30:00.000000,1131.5,1147.5,1133.0,1112.5
29,2026-08-12 10:33:00.000000,1112.5,1131.5,1111.5,1131.5
30,2026-08-12 10:36:00.000000,1131.5,1159.0,1118.5,1159.0
31,2026-08-12 10:39:00.000000,1159.0,1218.0,1159.0,1207.5
32,2026-08-12 10:42:00.000000,1207.5,1230.0,1203.0,1203.0
33,2026-08-12 10:45:00.000000,1203.0,1214.0,1199.0,1214.0
34,2026-08-12 10:48:00.000000,1214.0,1216.0,1200.0,1216.0
35,2026-08-12 11:03:00.000000,1216.0,1247.0,1210.0,1222.0
36,2026-08-12 11:09:00.000000,1222.0,1271.5,1260.0,1265.0
37,2026-08-12 11:12:00.000000,1265.0,1265.0,1242.0,1243.0
38,2026-08-12 11:24:00.000000,1243.0,1228.5,1214.0,1233.0
39,2026-08-12 11:27:00.000000,1233.0,1235.5,1230.0,1230.0
40,2026-08-12 13:33:00.000000,1230.0,1170.0,1114.0,1170.0
41,2026-08-12 13:36:00.000000,1170.0,1198.0,1170.0,1186.0
42,2026-08-12 13:39:00.000000,1186.0,1188.0,1168.0,1168.0
43,2026-08-12 13:51:00.000000,1168.0,1160.0,1142.5,1166.0
44,2026-08-12 14:00:00.000000,1166.0,1189.0,1167.0,1180.5
45,2026-08-12 14:03:00.000000,1180.5,1180.5,1161.0,1174.0
46,2026-08-12 14:09:00.000000,1174.0,1165.0,1158.0,1165.0
47,2026-08-12 14:12:00.000000,1165.0,1173.0,1165.0,1173.0
48,2026-08-12 14:15:00.000000,1173.0,1194.0,1172.0,1194.0
49,2026-08-12 14:18:00.000000,1194.0,1205.0,1194.0,1200.0
50,2026-08-12 14:24:00.000000,1200.0,1213.0,1204.0,1204.0
51,2026-08-12 14:27:00.000000,1204.0,1206.0,1199.5,1204.5
52,2026-08-12 14:30:00.000000,1204.5,1204.5,1198.5,1200.0
53,2026-08-12 14:33:00.000000,1200.0,1211.0,1200.0,1210.5
54,2026-08-12 14:36:00.000000,1210.5,1275.0,1200.5,1275.0
55,2026-08-12 14:42:00.000000,1275.0,1297.0,1274.0,1280.0
56,2026-08-12 14:51:00.000000,1280.0,1348.0,1317.0,1320.5
57,2026-08-12 14:54:00.000000,1320.5,1330.0,1313.0,1329.5
58,2026-08-12 14:57:00.000000,1329.5,1329.5,1284.0,1305.5
59,2026-08-12 21:00:00.000000,1399.0,1457.0,1327.0,1349.5
60,2026-08-12 21:03:00.000000,1349.5,1353.5,1317.5,1330.0
61,2026-08-12 21:09:00.000000,1330.0,1329.0,1282.0,1327.0
62,2026-08-12 21:12:00.000000,1327.0,1335.0,1290.5,1293.5
63,2026-08-12 21:18:00.000000,1293.5,1321.0,1286.0,1316.0
64,2026-08-12 21:21:00.000000,1316.0,1316.0,1260.0,1268.0
65,2026-08-12 21:24:00.000000,1268.0,1271.0,1221.5,1244.5
66,2026-08-12 21:30:00.000000,1244.5,1238.0,1205.0,1221.5
67,2026-08-12 21:33:00.000000,1221.5,1222.0,1193.0,1214.5
68,2026-08-12 21:36:00.000000,1214.5,1225.5,1198.0,1205.5
69,2026-08-12 21:39:00.000000,1205.5,1205.5,1185.0,1203.5
70,2026-08-12 21:42:00.000000,1203.5,1219.5,1187.0,1214.5
71,2026-08-12 21:45:00.000000,1214.5,1264.5,1203.0,1255.0
72,2026-08-12 21:48:00.000000,1255.0,1267.0,1240.0,1256.5
73,2026-08-12 21:54:00.000000,1256.5,1279.5,1258.0,1273.0
74,2026-08-12 21:57:00.000000,1273.0,1298.0,1263.5,1282.0
75,2026-08-12 22:03:00.000000,1282.0,1286.5,1254.5,1301.0
76,2026-08-12 22:09:00.000000,1301.0,1321.0,1296.5,1314.5
77,2026-08-12 22:18:00.000000,1314.5,1327.5,1304.5,1305.0
78,2026-08-12 22:21:00.000000,1305.0,1323.0,1302.5,1305.0
79,2026-08-12 22:24:00.000000,1305.0,1310.5,1284.0,1298.0
80,2026-08-12 22:27:00.000000,1298.0,1322.0,1287.0,1292.5
81,2026-08-12 22:30:00.000000,1292.5,1309.5,1260.5,1281.5
82,2026-08-12 22:39:00.000000,1281.5,1272.0,1236.5,1275.0
83,2026-08-12 22:42:00.000000,1275.0,1310.5,1268.5,1305.5
84,2026-08-12 22:45:00.000000,1305.5,1327.0,1291.5,1291.5
85,2026-08-12 22:48:00.000000,1291.5,1291.5,1267.0,1274.0
86,2026-08-12 22:54:00.000000,1274.0,1268.5,1253.0,1260.5
87,2026-08-12 22:57:00.000000,1260.5,1260.5,1251.5,1251.5
88,2026-08-12 23:00:00.000000,1251.5,1251.5,1240.5,1250.0
89,2026-08-12 23:09:00.000000,1250.0,1244.0,1223.0,1244.0
90,2026-08-12 23:15:00.000000,1244.0,1261.5,1244.0,1241.0
91,2026-08-12 23:18:00.000000,1241.0,1241.0,1230.5,1231.0
92,2026-08-12 23:30:00.000000,1231.0,1255.0,1255.0,1230.0
93,2026-08-12 23:39:00.000000,1230.0,1225.0,1225.0,1239.0
94,2026-08-12 23:48:00.000000,1239.0,1239.0,1239.0,1206.0
95,2026-08-12 23:54:00.000000,1206.0,1206.0,1180.5,1220.0
96,2026-08-12 23:57:00.000000,1220.0,1239.5,1220.0,1239.5
97,2026-08-13 00:09:00.000000,1239.5,1244.0,1244.0,1201.0
98,2026-08-13 00:24:00.000000,1201.0,1221.0,1199.0,1199.0
99,2026-08-13 00:27:00.000000,1199.0,1199.0,1184.5,1198.0
100,2026-08-13 00:30:00.000000,1198.0,1198.0,1180.0,1180.0
101,2026-08-13 01:45:00.000000,1180.0,1102.0,1102.0,1134.0
102,2026-08-13 02:00:00.000000,1134.0,1134.0,1134.0,1128.0
103,2026-08-13 02:21:00.000000,1128.0,1128.0,1123.0,1153.5
104,2026-08-13 02:27:00.000000,1153.5,1153.5,1153.5,1153.5
105,2026-08-13 09:00:00.000000,1238.0,1279.0,1215.0,1279.0
106,2026-08-13 09:03:00.000000,1279.0,1289.0,1255.5,1270.0
107,2026-08-13 09:06:00.000000,1270.0,1270.0,1249.5,1256.0
108,2026-08-13 09:09:00.000000,1256.0,1261.5,1223.5,1223.5
109,2026-08-13 09:12:00.000000,1223.5,1236.5,1213.0,1230.5
110,2026-08-13 09:15:00.000000,1230.5,1252.5,1230.5,1241.5
111,2026-08-13 09:18:00.000000,1241.5,1241.5,1198.0,1198.0
112,2026-08-13 09:21:00.000000,1198.0,1208.5,1188.0,1206.5
113,2026-08-13 09:24:00.000000,1206.5,1211.5,1194.5,1197.0
114,2026-08-13 09:27:00.000000,1197.0,1204.0,1192.0,1197.5
115,2026-08-13 09:33:00.000000,1197.5,1252.5,1237.0,1248.5
116,2026-08-13 09:36:00.000000,1248.5,1248.5,1220.5,1223.5
117,2026-08-13 09:39:00.000000,1223.5,1229.0,1199.5,1210.0
118,2026-08-13 09:42:00.000000,1210.0,1210.0,1196.0,1199.0
119,2026-08-13 09:45:00.000000,1199.0,1199.0,1156.0,1158.0
120,2026-08-13 09:48:00.000000,1158.0,1164.5,1137.5,1142.0
121,2026-08-13 09:51:00.000000,1142.0,1149.0,1118.0,1148.5
122,2026-08-13 09:54:00.000000,1148.5,1154.5,1138.5,1138.5
123,2026-08-13 10:00:00.000000,1138.5,1146.0,1129.0,1139.5
124,2026-08-13 10:03:00.000000,1139.5,1159.5,1136.0,1159.5
125,2026-08-13 10:06:00.000000,1159.5,1168.5,1146.5,1168.0
126,2026-08-13 10:12:00.000000,1168.0,1183.5,1168.5,1173.0
127,2026-08-13 10:30:00.000000,1173.0,1173.0,1057.5,1057.5
128,2026-08-13 10:36:00.000000,1057.5,1071.5,1034.0,1070.5
129,2026-08-13 10:39:00.000000,1070.5,1100.0,1068.0,1097.5
130,2026-08-13 10:42:00.000000,1097.5,1118.5,1094.5,1118.5
131,2026-08-13 10:45:00.000000,1118.5,1129.0,1109.0,1127.5
132,2026-08-13 10:48:00.000000,1127.5,1144.0,1127.5,1143.5
133,2026-08-13 10:51:00.000000,1143.5,1143.5,1121.5,1124.0
134,2026-08-13 10:54:00.000000,1124.0,1128.5,1099.0,1128.5
135,2026-08-13 10:57:00.000000,1128.5,1130.0,1123.5,1129.5
136,2026-08-13 11:00:00.000000,1129.5,1168.0,1125.0,1161.0
137,2026-08-13 11:03:00.000000,1161.0,1172.0,1153.0,1164.5
138,2026-08-13 11:06:00.000000,1164.5,1164.5,1135.0,1135.0
139,2026-08-13 11:12:00.000000,1135.0,1127.0,1102.5,1121.0
140,2026-08-13 13:30:00.000000,1121.0,1163.0,1138.0,1088.0
141,2026-08-13 13:33:00.000000,1088.0,1111.0,1088.0,1109.5
142,2026-08-13 13:39:00.000000,1109.5,1139.0,1118.0,1118.0
143,2026-08-13 13:42:00.000000,1118.0,1118.0,1063.5,1063.5
144,2026-08-13 13:48:00.000000,1063.5,1063.5,1050.0,1060.5
145,2026-08-13 13:51:00.000000,1060.5,1060.5,1048.0,1048.0
146,2026-08-13 13:57:00.000000,1048.0,1046.0,1024.0,1046.0
147,2026-08-13 14:03:00.000000,1046.0,1071.0,1046.0,1026.0
148,2026-08-13 14:09:00.000000,1026.0,1026.0,1026.0,1050.0
149,2026-08-13 14:21:00.000000,1050.0,1051.5,1050.0,1043.0
150,2026-08-13 14:27:00.000000,1043.0,1043.0,1018.5,1023.5
151,2026-08-13 14:30:00.000000,1023.5,1023.5,1015.0,1015.0
152,2026-08-13 14:33:00.000000,1015.0,1015.0,987.5,999.0
153,2026-08-13 14:36:00.000000,999.0,999.0,981.0,984.5
154,2026-08-13 14:39:00.000000,984.5,1005.5,984.5,999.5
155,2026-08-13 14:45:00.000000,999.5,999.5,974.0,1002.5
156,2026-08-13 14:51:00.000000,1002.5,1010.0,996.0,989.5
157,2026-08-13 14:54:00.000000,989.5,1001.0,985.0,1000.5
158,2026-08-13 14:57:00.000000,1000.5,1000.5,984.0,984.0
159,2026-08-13 21:00:00.000000,1060.0,1117.5,1053.0,1075.0
160,2026-08-13 21:27:00.000000,1075.0,1050.0,1027.0,1033.5
161,2026-08-13 22:00:00.000000,1033.5,988.0,980.0,980.5
162,2026-08-13 22:03:00.000000,980.5,993.5,980.5,991.5
163,2026-08-13 22:06:00.000000,991.5,1001.0,981.5,981.5
164,2026-08-13 22:15:00.000000,981.5,964.5,946.0,976.0
165,2026-08-13 22:21:00.000000,976.0,976.0,976.0,964.0
166,2026-08-13 22:30:00.000000,964.0,964.0,926.5,951.0
167,2026-08-13 22:39:00.000000,951.0,999.5,990.0,999.5
168,2026-08-13 22:42:00.000000,999.5,1016.0,997.0,1016.0
169,2026-08-13 22:45:00.000000,1016.0,1026.0,1016.0,1026.0
170,2026-08-13 22:48:00.000000,1026.0,1028.0,1026.0,1028.0
171,2026-08-13 22:54:00.000000,1028.0,1051.0,1030.0,1030.0
172,2026-08-13 23:09:00.000000,1030.0,1000.0,990.0,990.0
173,2026-08-13 23:21:00.000000,990.0,961.0,948.0,967.0
174,2026-08-13 23:27:00.000000,967.0,967.0,967.0,958.0
175,2026-08-13 23:30:00.000000,958.0,958.0,925.0,932.0
176,2026-08-13 23:33:00.000000,932.0,935.5,903.0,935.5
177,2026-08-13 23:36:00.000000,935.5,950.5,935.5,950.5
178,2026-08-13 23:48:00.000000,950.5,959.5,959.5,942.0
179,2026-08-14 00:09:00.000000,942.0,936.0,924.5,924.5
180,2026-08-14 00:21:00.000000,924.5,921.5,921.5,947.0
181,2026-08-14 00:24:00.000000,947.0,950.0,947.0,949.5
182,2026-08-14 00:42:00.000000,949.5,972.5,964.5,972.5
183,2026-08-14 00:51:00.000000,972.5,977.5,977.5,960.0
184,2026-08-14 00:57:00.000000,960.0,968.0,960.0,968.0
185,2026-08-14 01:27:00.000000,968.0,996.0,996.0,962.0
186,2026-08-14 09:00:00.000000,962.0,959.0,800.0,800.5
187,2026-08-14 09:03:00.000000,800.5,827.0,779.5,779.5
188,2026-08-14 09:06:00.000000,779.5,798.0,778.0,788.5
189,2026-08-14 09:09:00.000000,788.5,788.5,763.0,770.5
190,2026-08-14 09:12:00.000000,770.5,801.0,765.0,801.0
191,2026-08-14 09:18:00.000000,801.0,804.0,771.5,792.0
192,2026-08-14 09:33:00.000000,792.0,822.5,795.0,770.0
193,2026-08-14 09:42:00.000000,770.0,800.0,770.0,786.0
194,2026-08-14 09:48:00.000000,786.0,817.5,786.0,784.0
195,2026-08-14 09:51:00.000000,784.0,790.5,779.0,788.0
196,2026-08-14 09:54:00.000000,788.0,804.5,788.0,788.0
197,2026-08-14 09:57:00.000000,788.0,788.0,759.5,778.5
198,2026-08-14 10:06:00.000000,778.5,798.5,798.5,778.0
199,2026-08-14 10:09:00.000000,778.0,789.5,763.5,763.5
200,2026-08-14 10:30:00.000000,763.5,763.5,754.0,808.0
201,2026-08-14 10:33:00.000000,808.0,813.5,779.5,805.0
202,2026-08-14 10:42:00.000000,805.0,819.0,789.0,806.0
203,2026-08-14 10:45:00.000000,806.0,814.0,782.0,782.0
204,2026-08-14 10:54:00.000000,782.0,786.0,764.5,764.5
205,2026-08-14 11:00:00.000000,764.5,765.5,752.0,765.5
206,2026-08-14 11:03:00.000000,765.5,780.0,765.5,780.0
207,2026-08-14 11:18:00.000000,780.0,820.0,800.0,820.0
208,2026-08-14 11:27:00.000000,820.0,822.5,818.5,818.5
209,2026-08-14 13:33:00.000000,780.0,726.0,704.5,726.0
210,2026-08-14 13:36:00.000000,726.0,770.0,726.0,754.0
211,2026-08-14 13:48:00.000000,754.0,817.0,772.5,817.0
212,2026-08-14 14:00:00.000000,817.0,849.5,833.0,849.5
213,2026-08-14 14:06:00.000000,849.5,851.5,849.0,820.0
214,2026-08-14 14:12:00.000000,820.0,830.0,816.5,870.0
215,2026-08-14 14:15:00.000000,870.0,870.0,866.0,866.0
216,2026-08-14 14:18:00.000000,866.0,866.0,848.0,848.0
217,2026-08-14 14:21:00.000000,848.0,858.0,847.5,858.0
218,2026-08-14 14:27:00.000000,858.0,876.0,858.0,842.5
219,2026-08-14 14:48:00.000000,842.5,837.0,821.5,833.0
220,2026-08-14 14:57:00.000000,833.0,883.5,853.0,864.0
221,2026-08-14 21:00:00.000000,970.0,1030.0,940.0,1019.0
222,2026-08-14 21:03:00.000000,1019.0,1048.5,994.5,999.0
223,2026-08-14 21:06:00.000000,999.0,1005.0,984.0,989.5
224,2026-08-14 21:12:00.000000,989.5,981.5,980.0,981.5
225,2026-08-14 21:30:00.000000,981.5,1050.0,997.5,1050.0
226,2026-08-14 21:33:00.000000,1050.0,1053.0,1020.0,1053.0
227,2026-08-14 21:51:00.000000,1053.0,1069.0,1069.0,1050.0
228,2026-08-14 22:00:00.000000,1050.0,1050.0,1050.0,1092.0
229,2026-08-14 22:09:00.000000,1092.0,1114.0,1114.0,1093.5
230,2026-08-14 22:39:00.000000,1093.5,1082.0,1057.0,1058.0
231,2026-08-14 22:45:00.000000,1058.0,1060.5,1038.0,1038.0
232,2026-08-14 22:51:00.000000,1038.0,1038.0,1025.5,1042.5
233,2026-08-14 23:00:00.000000,1042.5,1043.5,1042.5,1043.5
234,2026-08-14 23:06:00.000000,1043.5,1048.0,1043.5,1042.5
235,2026-08-14 23:18:00.000000,1042.5,1031.5,1012.0,1012.0
236,2026-08-14 23:21:00.000000,1012.0,1012.0,1004.0,1011.5
237,2026-08-14 23:24:00.000000,1011.5,1011.5,1000.0,1000.0
238,2026-08-14 23:36:00.000000,1000.0,1000.0,995.0,1000.0
239,2026-08-14 23:39:00.000000,1000.0,1000.5,1000.0,1000.5
240,2026-08-14 23:42:00.000000,1000.5,1016.0,1000.5,1013.0
241,2026-08-14 23:51:00.000000,1013.0,1024.5,1020.0,1020.0
242,2026-08-14 23:54:00.000000,1020.0,1020.0,1008.5,1008.5
243,2026-08-15 00:00:00.000000,1008.5,1008.5,996.5,1020.0
244,2026-08-15 00:06:00.000000,1020.0,1020.0,1002.5,1002.5
245,2026-08-15 00:18:00.000000,1002.5,977.0,970.0,977.0
246,2026-08-15 00:27:00.000000,977.0,983.0,983.0,960.0
247,2026-08-15 00:30:00.000000,960.0,960.0,949.5,949.5
248,2026-08-15 00:45:00.000000,949.5,932.5,930.0,932.5
249,2026-08-15 01:42:00.000000,932.5,962.5,962.5,957.0
250,2026-08-15 01:48:00.000000,957.0,957.0,932.5,932.5
251,2026-08-15 01:51:00.000000,932.5,942.5,926.0,942.5
252,2026-08-15 02:09:00.000000,942.5,952.0,948.0,948.0
253,2026-08-15 02:27:00.000000,948.0,939.0,921.0,933.0
