idx,datetime,summacd,top_mark,bottom_mark,top_price,bottom_price,in_zhongshu,is_top,is_bottom,is_XSG,is_XXD,is_SZBBC,is_XDBBC,is_SZ5BBC,is_XD5BBC,is_SZ7BBC,is_XD7BBC,is_SZZSPZBC,is_XDZSPZBC,is_SZQSBC,is_XDQSBC
0,2026-08-12 00:15:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2026-08-12 00:18:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2026-08-12 00:42:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2026-08-12 00:51:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2026-08-12 01:03:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,2026-08-12 01:48:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,2026-08-12 01:51:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,2026-08-12 02:27:00,,,D,,1019.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
8,2026-08-12 09:00:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,2026-08-12 09:03:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,2026-08-12 09:06:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,2026-08-12 09:09:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,2026-08-12 09:12:00,112.7157,G,,1146.0,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
13,2026-08-12 09:15:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,2026-08-12 09:24:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,2026-08-12 09:27:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,2026-08-12 09:30:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,2026-08-12 09:33:00,0.0,,D,,1077.5,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
18,2026-08-12 09:39:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,2026-08-12 09:42:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,2026-08-12 09:45:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,2026-08-12 09:48:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,2026-08-12 09:51:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,2026-08-12 09:54:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,2026-08-12 09:57:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,2026-08-12 10:00:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,2026-08-12 10:03:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,2026-08-12 10:06:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,2026-08-12 10:30:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,2026-08-12 10:33:00,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
