idx,datetime,open,high,low,close
0,2026-08-14 21:30:00.000000,124.0,124.5,122.5,123.0
1,2026-08-14 21:30:30.000000,123.0,124.0,122.5,122.5
2,2026-08-14 21:31:30.000000,122.5,121.0,118.5,119.5
3,2026-08-14 21:32:30.000000,119.5,116.0,114.5,116.0
4,2026-08-14 21:33:00.000000,116.0,117.0,115.0,117.0
5,2026-08-14 21:34:00.000000,117.0,118.5,117.0,118.0
6,2026-08-14 21:34:30.000000,118.0,118.0,116.5,117.0
7,2026-08-14 21:35:00.000000,117.0,117.5,115.5,117.0
8,2026-08-14 21:36:00.000000,117.0,119.0,117.0,118.0
9,2026-08-14 21:37:00.000000,118.0,119.5,118.0,117.5
10,2026-08-14 21:37:30.000000,117.5,117.5,116.5,116.5
11,2026-08-14 21:38:00.000000,116.5,116.5,114.5,115.5
12,2026-08-14 21:38:30.000000,115.5,117.0,115.0,116.5
13,2026-08-14 21:40:00.000000,116.5,119.0,117.5,118.0
14,2026-08-14 21:41:00.000000,118.0,116.5,115.5,116.5
15,2026-08-14 21:41:30.000000,116.5,117.5,116.0,117.5
16,2026-08-14 21:42:30.000000,117.5,118.5,117.0,116.0
17,2026-08-14 21:43:00.000000,116.0,116.0,114.5,115.5
18,2026-08-14 21:44:00.000000,115.5,116.5,115.0,116.0
19,2026-08-14 21:44:30.000000,116.0,117.5,115.5,116.5
20,2026-08-14 21:45:00.000000,116.5,118.0,116.0,118.0
21,2026-08-14 21:46:30.000000,118.0,120.0,117.5,119.0
22,2026-08-14 21:47:30.000000,119.0,120.5,119.0,119.0
23,2026-08-14 21:48:00.000000,119.0,119.5,118.0,119.0
24,2026-08-14 21:48:30.000000,119.0,120.5,118.5,120.5
25,2026-08-14 21:50:00.000000,120.5,122.0,119.5,120.0
26,2026-08-14 21:50:30.000000,120.0,120.0,119.0,119.5
27,2026-08-14 21:51:30.000000,119.5,121.5,119.5,119.5
28,2026-08-14 21:53:30.000000,119.5,119.0,117.5,118.5
29,2026-08-14 21:56:30.000000,118.5,118.0,116.5,117.5
30,2026-08-14 21:58:30.000000,117.5,119.0,118.0,118.5
31,2026-08-14 22:00:00.000000,118.5,118.0,110.5,111.0
32,2026-08-14 22:00:30.000000,111.0,113.0,110.0,112.5
33,2026-08-14 22:01:00.000000,112.5,114.0,111.0,113.5
34,2026-08-14 22:01:30.000000,113.5,114.5,112.5,113.0
35,2026-08-14 22:07:30.000000,113.0,111.5,109.5,109.5
36,2026-08-14 22:08:30.000000,109.5,111.0,109.0,110.5
37,2026-08-14 22:09:30.000000,110.5,111.5,110.5,111.5
38,2026-08-14 22:10:00.000000,111.5,112.0,111.0,112.0
39,2026-08-14 22:11:00.000000,112.0,114.0,112.5,112.5
40,2026-08-14 22:11:30.000000,112.5,113.0,111.5,112.0
41,2026-08-14 22:12:00.000000,112.0,112.5,111.0,111.5
42,2026-08-14 22:12:30.000000,111.5,111.5,109.0,109.5
43,2026-08-14 22:13:00.000000,109.5,109.5,108.5,109.5
44,2026-08-14 22:13:30.000000,109.5,110.0,109.5,110.0
45,2026-08-14 22:14:00.000000,110.0,111.5,110.0,111.5
46,2026-08-14 22:15:30.000000,111.5,113.0,111.5,111.5
47,2026-08-14 22:18:00.000000,111.5,112.0,111.0,111.5
48,2026-08-14 22:18:30.000000,111.5,114.0,111.5,113.5
49,2026-08-14 22:21:30.000000,113.5,115.0,113.5,113.0
50,2026-08-14 22:22:00.000000,113.0,113.5,112.5,112.5
51,2026-08-14 22:23:30.000000,112.5,113.0,111.5,112.5
52,2026-08-14 22:24:00.000000,112.5,112.5,110.5,110.5
53,2026-08-14 22:25:00.000000,110.5,110.0,108.5,109.0
54,2026-08-14 22:26:00.000000,109.0,109.0,106.5,109.0
55,2026-08-14 22:27:30.000000,109.0,109.5,108.5,109.5
56,2026-08-14 22:30:00.000000,109.5,110.5,109.5,110.5
