idx,datetime,summacd,top_mark,bottom_mark,top_price,bottom_price,in_zhongshu,is_top,is_bottom,is_XSG,is_XXD,is_SZBBC,is_XDBBC,is_SZ5BBC,is_XD5BBC,is_SZ7BBC,is_XD7BBC,is_SZZSPZBC,is_XDZSPZBC,is_SZQSBC,is_XDQSBC
0,2026-08-14 21:30:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2026-08-14 21:30:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2026-08-14 21:31:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2026-08-14 21:32:30,,,D,,114.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
4,2026-08-14 21:33:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,2026-08-14 21:34:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,2026-08-14 21:34:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,2026-08-14 21:35:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,2026-08-14 21:36:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,2026-08-14 21:37:00,0.0848,G,,119.5,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10,2026-08-14 21:37:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,2026-08-14 21:38:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,2026-08-14 21:38:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,2026-08-14 21:40:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,2026-08-14 21:41:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,2026-08-14 21:41:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,2026-08-14 21:42:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,2026-08-14 21:43:00,-0.4958999999999989,,D,,114.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
18,2026-08-14 21:44:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,2026-08-14 21:44:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,2026-08-14 21:45:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,2026-08-14 21:46:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,2026-08-14 21:47:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,2026-08-14 21:48:00,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,2026-08-14 21:48:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,2026-08-14 21:50:00,9.5561,G,,122.0,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
26,2026-08-14 21:50:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,2026-08-14 21:51:30,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
