idx,datetime,open,high,low,close
0,2026-08-12 00:15:00.000000,222.5,225.0,222.0,224.0
1,2026-08-12 00:18:00.000000,224.0,227.0,222.0,223.0
2,2026-08-12 00:21:00.000000,223.0,224.5,221.0,222.0
3,2026-08-12 00:24:00.000000,222.0,223.0,220.5,220.5
4,2026-08-12 00:27:00.000000,220.5,221.5,218.0,220.5
5,2026-08-12 00:48:00.000000,220.5,226.0,223.0,225.0
6,2026-08-12 00:54:00.000000,225.0,228.0,224.5,225.0
7,2026-08-12 00:57:00.000000,225.0,227.0,223.0,225.0
8,2026-08-12 01:06:00.000000,225.0,226.0,220.5,222.0
9,2026-08-12 01:09:00.000000,222.0,226.5,222.0,226.0
10,2026-08-12 01:15:00.000000,226.0,229.5,226.0,222.5
11,2026-08-12 01:21:00.000000,222.5,227.0,222.0,227.0
12,2026-08-12 01:27:00.000000,227.0,230.5,226.0,228.0
13,2026-08-12 01:36:00.000000,228.0,232.0,229.0,230.5
14,2026-08-12 01:39:00.000000,230.5,231.5,228.0,228.0
15,2026-08-12 01:45:00.000000,228.0,229.0,225.0,225.0
16,2026-08-12 01:48:00.000000,225.0,226.5,224.0,226.5
17,2026-08-12 01:51:00.000000,226.5,230.0,226.0,230.0
18,2026-08-12 01:54:00.000000,230.0,235.5,230.0,235.5
19,2026-08-12 02:06:00.000000,235.5,246.5,235.0,245.5
20,2026-08-12 02:09:00.000000,245.5,247.0,242.5,243.5
21,2026-08-12 02:12:00.000000,243.5,245.5,240.0,241.0
22,2026-08-12 02:15:00.000000,241.0,241.0,236.0,238.5
23,2026-08-12 02:18:00.000000,238.5,239.5,235.0,239.0
24,2026-08-12 02:21:00.000000,239.0,240.5,236.5,237.5
25,2026-08-12 02:27:00.000000,237.5,238.5,234.0,239.0
26,2026-08-12 09:00:00.000000,230.0,230.0,215.0,221.0
27,2026-08-12 09:03:00.000000,221.0,223.5,214.0,221.5
28,2026-08-12 09:06:00.000000,221.5,224.5,220.0,223.0
29,2026-08-12 09:09:00.000000,223.0,223.0,213.5,214.0
30,2026-08-12 09:15:00.000000,214.0,216.0,210.5,216.5
31,2026-08-12 09:30:00.000000,216.5,224.5,216.5,224.5
